user_id,join_date,gopay_tier,internal_credit_score,paylater_limit
GP-000001,2022-05-26,Basic,,0
GP-000002,2023-07-12,Plus,751.0,500000
GP-000003,2022-05-09,Plus,728.0,1500000
GP-000004,2021-08-28,Basic,394.0,0
GP-000005,2021-05-31,Basic,333.0,0
GP-000006,2021-04-26,Plus,516.0,5000000
GP-000007,2021-12-26,Plus,555.0,1500000
GP-000008,2023-03-26,Plus,,500000
GP-000009,2022-12-02,Plus,799.0,3000000
GP-000010,2021-04-20,Plus,,5000000
GP-000011,2023-07-03,Plus,559.0,500000
GP-000012,2022-02-05,Basic,333.0,0
GP-000013,2023-01-04,Basic,405.0,0
GP-000014,2023-02-20,Basic,339.0,0
GP-000015,2023-05-15,Basic,473.0,0
GP-000016,2022-09-26,Basic,382.0,0
GP-000017,2022-05-31,Plus,715.0,500000
GP-000018,2023-09-04,Plus,564.0,1500000
GP-000019,2023-09-26,Plus,721.0,1500000
GP-000020,2022-06-23,Plus,,3000000
GP-000021,2022-02-08,Plus,726.0,500000
GP-000022,2021-06-04,Plus,770.0,3000000
GP-000023,2021-12-05,Plus,816.0,1500000
GP-000024,2023-03-26,Basic,388.0,0
GP-000025,2023-09-18,Basic,368.0,0
GP-000026,2022-01-15,Plus,,500000
GP-000027,2021-06-30,Basic,342.0,0
GP-000028,2022-10-04,Basic,300.0,0
GP-000029,2023-01-14,Basic,,0
GP-000030,2022-10-05,Plus,672.0,500000
GP-000031,2022-01-28,Basic,496.0,0
GP-000032,2021-04-29,Basic,419.0,0
GP-000033,2022-07-02,Basic,444.0,0
GP-000034,2022-11-16,Basic,,0
GP-000035,2022-10-11,Plus,586.0,500000
GP-000036,2022-07-20,Plus,,1500000
GP-000037,2023-05-08,Basic,311.0,0
GP-000038,2023-06-14,Basic,460.0,0
GP-000039,2022-01-14,Basic,484.0,0
GP-000040,2023-04-27,Plus,,5000000
GP-000041,2023-07-22,Plus,817.0,3000000
GP-000042,2021-01-30,Basic,487.0,0
GP-000043,2022-10-02,Basic,,0
GP-000044,2023-03-02,Plus,505.0,1500000
GP-000045,2022-08-30,Basic,451.0,0
GP-000046,2022-08-10,Plus,785.0,1500000
GP-000047,2022-01-30,Plus,595.0,500000
GP-000048,2021-02-15,Basic,,0
GP-000049,2022-09-26,Plus,541.0,1500000
GP-000050,2023-05-01,Plus,568.0,1500000
GP-000051,2021-12-28,Plus,410.0,500000
GP-000052,2022-01-21,Plus,783.0,3000000
GP-000053,2023-01-07,Plus,633.0,500000
GP-000054,2021-08-11,Plus,713.0,500000
GP-000055,2022-10-17,Plus,610.0,500000
GP-000056,2022-01-22,Plus,528.0,500000
GP-000057,2021-09-11,Plus,675.0,500000
GP-000058,2021-05-05,Basic,451.0,0
GP-000059,2022-06-19,Basic,,0
GP-000060,2021-04-03,Basic,498.0,0
GP-000061,2023-04-15,Basic,490.0,0
GP-000062,2022-09-18,Plus,452.0,3000000
GP-000063,2021-12-21,Plus,667.0,1500000
GP-000064,2023-09-05,Basic,328.0,0
GP-000065,2022-07-08,Plus,737.0,3000000
GP-000066,2022-12-30,Plus,638.0,500000
GP-000067,2023-03-16,Plus,442.0,1500000
GP-000068,2022-01-07,Plus,469.0,1500000
GP-000069,2022-01-03,Plus,794.0,1500000
GP-000070,2023-03-31,Plus,618.0,500000
